A,0,0,60.0
A,0,1,81.0
A,0,2,71.0
A,0,3,28.0
A,0,4,13.0
A,0,5,27.0
A,0,6,68.0
A,0,7,52.0
A,0,8,33.0
A,0,9,23.0
A,1,0,1.0
A,1,1,96.0
A,1,2,34.0
A,1,3,16.0
A,1,4,79.0
A,1,5,22.0
A,1,6,10.0
A,1,7,18.0
A,1,8,84.0
A,1,9,100.0
A,2,0,74.0
A,2,1,44.0
A,2,2,50.0
A,2,3,32.0
A,2,4,25.0
A,2,5,30.0
A,2,6,26.0
A,2,7,33.0
A,2,8,64.0
A,2,9,64.0
A,3,0,3.0
A,3,1,12.0
A,3,2,31.0
A,3,3,44.0
A,3,4,7.0
A,3,5,16.0
A,3,6,81.0
A,3,7,33.0
A,3,8,59.0
A,3,9,82.0
A,4,0,14.0
A,4,1,79.0
A,4,2,21.0
A,4,3,69.0
A,4,4,23.0
A,4,5,5.0
A,4,6,70.0
A,4,7,14.0
A,4,8,7.0
A,4,9,100.0
A,5,0,22.0
A,5,1,57.0
A,5,2,95.0
A,5,3,28.0
A,5,4,75.0
A,5,5,34.0
A,5,6,28.0
A,5,7,48.0
A,5,8,64.0
A,5,9,95.0
A,6,0,92.0
A,6,1,42.0
A,6,2,49.0
A,6,3,57.0
A,6,4,75.0
A,6,5,27.0
A,6,6,95.0
A,6,7,22.0
A,6,8,17.0
A,6,9,78.0
A,7,0,34.0
A,7,1,35.0
A,7,2,48.0
A,7,3,8.0
A,7,4,25.0
A,7,5,93.0
A,7,6,71.0
A,7,7,78.0
A,7,8,46.0
A,7,9,95.0
A,8,0,42.0
A,8,1,34.0
A,8,2,77.0
A,8,3,80.0
A,8,4,78.0
A,8,5,3.0
A,8,6,88.0
A,8,7,58.0
A,8,8,69.0
A,8,9,81.0
A,9,0,16.0
A,9,1,51.0
A,9,2,52.0
A,9,3,31.0
A,9,4,79.0
A,9,5,14.0
A,9,6,38.0
A,9,7,14.0
A,9,8,45.0
A,9,9,28.0
B,0,0,44.0
B,0,1,10.0
B,0,2,71.0
B,0,3,28.0
B,0,4,28.0
B,1,0,48.0
B,1,1,52.0
B,1,2,49.0
B,1,3,16.0
B,1,4,62.0
B,2,0,68.0
B,2,1,100.0
B,2,2,8.0
B,2,3,55.0
B,2,4,98.0
B,3,0,93.0
B,3,1,100.0
B,3,2,76.0
B,3,3,70.0
B,3,4,10.0
B,4,0,92.0
B,4,1,89.0
B,4,2,79.0
B,4,3,49.0
B,4,4,89.0
B,5,0,13.0
B,5,1,1.0
B,5,2,89.0
B,5,3,27.0
B,5,4,53.0
B,6,0,94.0
B,6,1,84.0
B,6,2,53.0
B,6,3,87.0
B,6,4,70.0
B,7,0,19.0
B,7,1,63.0
B,7,2,86.0
B,7,3,98.0
B,7,4,79.0
B,8,0,35.0
B,8,1,58.0
B,8,2,82.0
B,8,3,53.0
B,8,4,37.0
B,9,0,76.0
B,9,1,32.0
B,9,2,63.0
B,9,3,55.0
B,9,4,82.0
